Git,301
PostgreSQL,208
PHP,206
MySQL,206
JavaScript,158
ООП,150
SQL,149
Docker,124
Linux,104
Node.js,102
Symfony,85
Java,85
C#,82
Redis,81
Python,72
Laravel,65
HTML,60
MongoDB,56
RabbitMQ,49
CSS,46
API,46
Английский язык,43
PHP7,40
Backend,39
Spring Framework,39
NoSQL,36
.NET Framework,36
.NET Core,36
TypeScript,35
SOLID,35
REST,32
MS SQL,30
Golang,30
Kotlin,26
jQuery,26
JS,24
1С-Битрикс,23
ASP.NET,22
Go,22
Memcached,22
Django Framework,21
Удаленная работа,21
Yii,20
PHP 7.3,20
CI/CD,19
MVC,19
CSS3,17
Базы данных,17
Kubernetes,16
Веб-программирование,16
Nginx,16
Spring Boot,16
PHP5,15
C++,15
С#,15
AWS,14
Scrum,14
Hibernate ORM,14
Ajax,13
Kafka,13
DDD,13
HTTP,13
Работа в команде,13
REST API,12
AngularJS,12
Entity Framework,12
Angular,12
Yii2,11
React,10
Elasticsearch,10
Flask,9
HTML5,9
Docker-compose,9
Управление проектами,9
CMS Wordpress,9
LINQ,9
Умение работать в условиях многозадачности,9
TDD,9
Agile Project Management,8
SaaS,8
Blockchain,8
SCALA,8
GraphQL,8
Bash,8
HTML/CSS,8
Gitlab,8
Vue.js,8
Design Patterns,8
Fluent in English (oral/written),8
Spring,8
Умение адаптироваться,8
Code review,8
Composer,7
Nest.js,7
XML,7
DRY,7
Java Script,7
Unit Testing,7
Unix,7
ClickHouse,7
CI,7
Bootstrap,7
Планирование,7
GitHub Actions,7
Telegraf,7
socket.io,7
Работа в условиях многозадачности,6
Django,6
docker,6
Atlassian Jira,6
Ruby,6
Ruby On Rails,6
Разработка ПО,6
Intellij IDEA,6
Postgres,6
Oracle Pl/SQL,6
Apache Maven,6
laravel,6
Java Core,6
Работа с базами данных,6
Gradle,6
MassTransit,6
PHPUnit,5
Teamleading,5
Разработка нового продукта,5
Typescript,5
ORM,5
NestJS,5
Microservices,5
Паттерны проектирования,5
Оптимизация запросов,5
СУБД,5
Rest API,5
JSON,5
Vkontakte Api,5
ASP.NET Core,5
MS Visual Studio,5
MS SQL Server,5
CRM,5
Битрикс 24,5
Битрикс24,5
(*nix),5
MariaDB,5
Microsoft Access,5
1С программирование,5
backend,5
.Net,5
Microservice architecture,5
golang,4
Codeception,4
Стабильность,4
Express.js,4
Аналитическое мышление,4
Тестирование,4
ORACLE,4
Office,4
RPC API,4
KISS,4
YAGNI,4
BDUP,4
Helm Charts,4
Rabbit MQ,4
Azure Service Bus,4
Умение работать в коллективе,4
Желание учиться и развиваться,4
Swagger,4
Работа в CRM системе,4
PHP7.2,4
Exposed,4
HTTPS,4
Мотивированность на результат обучения,4
Математическая статистика,4
Английский — B1 — Средний,4
Web API,4
EntityFramework,4
Graylog,4
Zabbix,4
JDBC,3
Jenkins,3
Оптимизация кода,3
JSON API,3
Atlassian Confluence,3
React.js,3
SOAP,3
Java SE,3
Web Application Development,3
vue,3
Express,3
Azure,3
Frontend,3
Vue,3
highload,3
MedusaJS,3
Highload,3
Bitrix,3
Блокчейн,3
Планирование карьеры,3
CMS Bitrix,3
Rust,3
kubernetes,3
Разработка CMS,3
Socket.io,3
.NET 5,3
Kibana,3
GO,3
CQRS,3
Готовность обучаться,3
Лояльность,3
Умение организовать работу,3
Самостоятельная работа,3
Стремление развиваться,3
Желание работать и развиваться,3
Творческое мышление,2
Опрятность,2
C/C++,2
Рефакторинг кода,2
Креативность,2
Android,2
FastAPI,2
Bitrix24,2
Fluent English,2
Администрирование серверов Linux,2
unit-тесты,2
Управление командой,2
GitHub,2
k8s,2
Web,2
aiohttp,2
NLP,2
Мобильность,2
Nest.JS,2
Clojure,2
Next.js,2
Redux,2
SQLAlchemy,2
RestAPI,2
.NET,2
Apache Kafka,2
Java EE,2
NodeJS,2
Vendure,2
DevOps,2
js,2
Elastic-search,2
Blackfire,2
Spark,2
kafka,2
Microsoft Visual Studio,2
TeamCity,2
.Net Core,2
Управление персоналом,2
Ориентация на результат,2
Apache HTTP Server,2
Cистемы управления базами данных,2
JUnit,2
Создание сайтов,2
Wordpress,2
HTML-верстка,2
Less,2
typescript,2
code review,2
load tests,2
Google API,2
Lotus Symphony,2
Gulp,2
BDD,2
HighLoad,2
Joomla CMS,2
Grasp,2
SOA,2
Transact-SQL,2
высшее образование,2
YouTrack,2
Slim Framework,2
CI/CD - Jenkins,2
Visual Studio C#,2
Машинное обучение,2
blockchain,2
Кроссбраузерная верстка,2
DevOPS,2
Криптовалюта,2
Doctrine,2
Hyperleger Fabric,2
Пользователь ПК,2
MS Access,2
Администрирование сайтов,2
Elixir,2
Грамотная речь,1
проведение опросов общественного мнения,1
Jetbrains Phpstorm,1
Грамотность,1
Ruby 2.7,1
Ruby on Rails 5,1
EF Core,1
Опыт управления коллективом,1
gRPC,1
UX,1
Android SDK,1
SQLite,1
SQLAchemy,1
Domain Driven Design,1
Облачные технологии,1
Smart Contracts,1
Solidity,1
PostreSQL,1
Click House,1
MobX,1
MolecularJS,1
Teamplayer,1
Soft skills,1
NPM,1
Коммуникабельность,1
стрессоустойчивость,1
Опыт работы в команде,1
Высокая ответственность,1
Стремление к профессиональному росту,1
GDAL,1
Bitbucket,1
GNU coreutils,1
ES6-7,1
elasticsearch,1
JSDoc,1
Leaflet.js,1
GeoServer,1
Mapbox,1
Спортивные мероприятия,1
ES6,1
web,1
OOП,1
Development,1
руководство командой разработчиков,1
Hazelcast,1
OOP,1
Коммуникация,1
ETL,1
Falcon,1
openlayers,1
Анализ данных,1
leaflet,1
mapbox,1
devextreme,1
potree,1
.Net 5,1
ASP .Net Web API,1
BigQuery,1
Google Kubernetes Engine,1
NUnit,1
Microservice,1
Английский язык (Upper-Intermediate),1
Проектирование баз данных,1
Compojure,1
Микросервисы,1
Kanban,1
Backend-сервисы,1
Биллинг,1
DRF,1
Мобильные приложения,1
TypeScrypt,1
Безопасность данных,1
exploratory,1
Анализ требований,1
Postman,1
Continuous Integration / Continious Delivery,1
Асинхронное программирование,1
asyncio,1
Серверное программирование,1
Функциональное тестирование,1
QA,1
Pandas,1
Numpy,1
Pytest,1
Plotly Dash,1
Работа с большим объемом информации,1
Вовлеченность,1
.NET Core 6,1
Core,1
dotnet core,1
ИТ,1
Goland,1
Grails,1
Vert.X,1
Clickhouse,1
yii2,1
PSR,1
Camunda,1
WebFlux,1
Работа с жалобами клиентов,1
Framework,1
YII2,1
BPM,1
VueJS,1
Фреймворки,1
Nestjs,1
Системная интеграция,1
apache,1
ES5,1
Canvas,1
Nodejs,1
Rabbit,1
Postgree,1
JIRA,1
Confluence,1
Sharepoint,1
DataGrip/DBeaver,1
SOAP (REST),1
WSDL,1
IntellijIdea,1
Обучение и развитие,1
Perl,1
VoIP,1
Internet,1
Kamailio,1
Debian,1
Zend Framework,1
doctrine,1
MODx,1
1C,1
CMS OpenCart,1
Блочная верстка,1
OpenCart,1
Внешняя оптимизация сайта,1
ES6+,1
react,1
ElasticSearch,1
testrail,1
QA Automation,1
unit,1
integration,1
Энтузиазм,1
Ответственность и пунктуальность,1
Желание работать и зарабатывать,1
.NET 5.0,1
микросервисы,1
WEB аналитика,1
Middle,1
Fintech,1
чужой код,1
Яндекс API,1
Phyton,1
Billing,1
junior,1
middle,1
CMS Drupal,1
Sass,1
Системное мышление,1
mssql,1
sqlserver,1
React JS,1
ECMAScript 6,1
Тайм-менеджмент,1
Желание прокачиваться,1
Умение работать в команде,1
TypeScript/Javascript,1
MS PowerPoint,1
Verilog HDL,1
English,1
Redmine,1
WebSocket,1
PostreSql,1
C#.NET,1
Vue js,1
Cuba Platform\Jmix,1
metamask,1
solidity,1
Coffeecup HTML Editor,1
Ответственность,1
Rest-api,1
Angular 2+,1
Ведение переговоров,1
rider,1
Multithread Programming,1
socket programing,1
начало карьеры,1
блокчейн,1
NET Core C#,1
Gitlab CI,1
Websockets,1
Sentry,1
K8s,1
Prometheus,1
Grafana EFK,1
telegram bots,1
Threading / Multiprocessing в Python,1
English B1-C2,1
XSL,1
Xsd,1
Refactoring,1
OpenTracing,1
GitLab,1
GitLab CI,1
Shell scripts,1
ReactJs,1
SPA,1
WebPack,1
Babel,1
Spring 4,1
R,1
IPTV,1
ADO.NET,1
Адекватность,1
nsq,1
MySOL,1
Figma,1
Умение объяснять,1
ES6/ES7,1
Знание английского языка,1
SQL запросы,1
CakePHP,1
PHP 7.4/8,1
Oracle CRM,1
NHibernate,1
NET 5.0,1
JetBrains,1
Rider,1
Многозадачность,1
Желание развиваться и обучаться,1
Tensorflow,1
PyTorch,1
Электронная коммерция,1
Разработка технических заданий,1
Средства криптографической защиты информации,1
Информационная безопасность,1
Информационные технологии,1
1С: Предприятие 8,1
Notion,1
Continuous Integration,1
Sphinx,1
Jest,1
Написание тестов,1
Проектная работа,1
go,1
Golang.Org,1
liquibase,1
.net Core,1
Mercurial,1
maven,1
ES,1
Lumen,1
reactjs,1
Percona,1
CSS-верстка,1
Ubuntu Server,1
php7,1
FreeBSD,1
VBScript,1
ML,1
Умение работать в команде и самостоятельно,1
Unity,1
Численные методы,1
Программирование,1
Erlang,1
Postgrest,1
PL/PgSQL,1
Stored functions,1
Views,1
Indexes,1
DB clusters,1
Haskelldb,1
Docker Compose,1
Dart,1
phpMyAdmin,1
Software Development,1
Haskell,1
F#,1
RESTful API,1
BPMN,1
WPF,1
POS,1
Oracle DB,1
Prototype Js,1
SQL Server,1
Adobe Photoshop,1
Drupal,1
figma,1
Опыт работы с реляционными базами данных,1
Покер,1
Тех. поддержка,1
Русский язык,1
