id,name,area,salary,experience,description,key_skills,alternate_url
52118211,Senior backend developer (Node.js),Москва,350000,Нет опыта,"<p>Нашему Партнёру, создателям мобильного приложения для обмена полезными связями и контактами, в связи с ростом команды требуется:<br /><br /><em><strong>Senior backend developer (Node.js)</strong></em></p> <p><strong>Цель проекта:</strong> Мы хотим улучшить продуктивность людей, повысить качество потребляемых товаров и услуг. Цель масштабна и амбициозна, но у нас есть план, решимость, вера и ресурсы для ее достижения.</p> <p>Сейчас мы работаем над тем, чтобы повысить качество потребляемых товаров и услуг. Наше решение поможет людям выбирать проверенные товары и услуги, не сомневаясь в качестве. А бизнесу и специалистам фокусироваться на повышении качества своей продукции, что будет одним из основных драйверов привлечения новых клиентов, позволяя экономить на рекламных бюджетах.</p> <p>И это один из первых шагов в экосистеме сервисов и продуктов, для создания которых мы ищем таланты.</p> <p><strong>Что нужно делать:</strong></p> <ul> <li>Проектировать архитектуру под потребности бизнеса</li> <li>Разработка сервиса и написание новых микросервисов</li> <li>Писать тесты для повышения качества продукта (TDD/BDD)</li> </ul> <p><strong>Что мы от Вас ждём:</strong></p> <ul> <li>Опыт разработки на node.js и TypeScript</li> <li>Опыт работы с PostgreSQL</li> <li>Хорошо знаком и практикуешь подход TDD</li> <li>Опыт в выпуска больших нагруженных продуктов</li> <li>Опыт в найме и формировании компетенций команды</li> </ul> <p><br /><strong>Наши преимущества:</strong></p> <ul> <li>Основатель наравне со всеми погружен и участвует в разработке продукта и жизни команды;</li> <li>Возможность влиять на продуктовую часть;</li> <li>Возможность поучаствовать с командой в будущих опционах и сорвать куш ;</li> <li>При достижении значимых командных результатов поощрительные корпоративные выезды в 1-2 месяца на Бали / Тайланд;</li> <li>Комфортный удаленный формат работы.</li> </ul>","PostgreSQL, TDD, BDD, Socket.io, Node.js",https://hh.ru/vacancy/52118211
52118210,Senior backend developer (Node.js),Санкт-Петербург,350000,Нет опыта,"<p>Нашему Партнёру, создателям мобильного приложения для обмена полезными связями и контактами, в связи с ростом команды требуется:<br /><br /><em><strong>Senior backend developer (Node.js)</strong></em></p> <p><strong>Цель проекта:</strong> Мы хотим улучшить продуктивность людей, повысить качество потребляемых товаров и услуг. Цель масштабна и амбициозна, но у нас есть план, решимость, вера и ресурсы для ее достижения.</p> <p>Сейчас мы работаем над тем, чтобы повысить качество потребляемых товаров и услуг. Наше решение поможет людям выбирать проверенные товары и услуги, не сомневаясь в качестве. А бизнесу и специалистам фокусироваться на повышении качества своей продукции, что будет одним из основных драйверов привлечения новых клиентов, позволяя экономить на рекламных бюджетах.</p> <p>И это один из первых шагов в экосистеме сервисов и продуктов, для создания которых мы ищем таланты.</p> <p><strong>Что нужно делать:</strong></p> <ul> <li>Проектировать архитектуру под потребности бизнеса</li> <li>Разработка сервиса и написание новых микросервисов</li> <li>Писать тесты для повышения качества продукта (TDD/BDD)</li> </ul> <p><strong>Что мы от Вас ждём:</strong></p> <ul> <li>Опыт разработки на node.js и TypeScript</li> <li>Опыт работы с PostgreSQL</li> <li>Хорошо знаком и практикуешь подход TDD</li> <li>Опыт в выпуска больших нагруженных продуктов</li> <li>Опыт в найме и формировании компетенций команды</li> </ul> <p><br /><strong>Наши преимущества:</strong></p> <ul> <li>Основатель наравне со всеми погружен и участвует в разработке продукта и жизни команды;</li> <li>Возможность влиять на продуктовую часть;</li> <li>Возможность поучаствовать с командой в будущих опционах и сорвать куш ;</li> <li>При достижении значимых командных результатов поощрительные корпоративные выезды в 1-2 месяца на Бали / Тайланд;</li> <li>Комфортный удаленный формат работы.</li> </ul>","PostgreSQL, TDD, BDD, Socket.io, Node.js",https://hh.ru/vacancy/52118210
49947753,Бэкенд-разработчик в команду Авито Недвижимости,Москва,285000,Нет опыта,"<p>Наша команда отвечает за то, как люди тратят деньги на Авито. Мы развиваем размещения, тарифы для бизнес-клиентов, услуги продвижения, CPA-инструменты и всё, что связано с платежами. А ещё поддерживаем инфраструктуру для проведения ценовых тестов.<br /><br />Мы бережём здоровье сотрудников, поэтому на время пандемии все команды перешли на работу из дома. Компания предоставляет технику для удалённой работы: ноутбуки, мониторы, модемы. Также мы даём доступ к софту для продуктивного взаимодействия в команде. А ещё компенсируем расходы на питание, чтобы сотрудники меньше скучали по бесплатным обедам в офисе</p> <p><br /><strong>Команда Недвижимость</strong> видит своей долгосрочной целью с помощью технологий сделать жизнь людей на рынке недвижимости проще и безопаснее, чтобы купить квартиру было так же легко, как вызвать такси.</p> <p><strong>Вам предстоит:</strong></p> <p>—разрабатывать высокопроизводительные микросервисы на Go и поддерживать код на PHP;</p> <p>— развивать продукт и работать над новой функциональностью;</p> <p>—сопровождать полный цикл жизни продукта от проработки продуктового решения до деплоя кода на серверы;</p> <p>—участвовать в проработке архитектурных решений;</p> <p>—поддерживать и развивать горизонтальные платформенные сервисы.</p> <p><strong>Мы ждём, что вы:</strong></p> <p>— отлично владеете PHP/Python/Go и готовы развиваться в Go в будущем;</p> <p>— понимаете, как устроен HTTP;</p> <p>— уверенно пишете PostgreSQL и умеете оптимизировать запросы;</p> <p>— понимаете, что такое ООП, и умеете применять на практике основные паттерны;</p> <p>— знакомы с основными алгоритмами, структурами данных и способами защиты информации;</p> <p>— работа с Jira, Confluence, Bitbucket, TeamCity, Sentry, Grafana будет вашим преимуществом.</p> <p><strong>Работа у нас — это:</strong></p> <p>— возможность реализовать свои идеи в проекте с многомиллионной аудиторией;<br />— талантливая команда, готовая поддержать ваши инициативы;<br />— мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы;<br />— прозрачная система премий, достойная зарплата — размер обсудим на собеседовании;<br />— личный бюджет на обучение, который можно тратить на книги, курсы и конференции;<br />— забота о здоровье: с первого дня у вас будет ДМС со стоматологией, в офисе принимают терапевт и массажист;<br />— замечательный офис в двух минутах от метро «Белорусская»: панорамный вид на центр города, места для уединённой работы и зоны отдыха.</p>","Python, SQL, ООП, Golang, PostgreSQL, Redis, PHP",https://hh.ru/vacancy/49947753
54152457,Руководитель backend,Москва,205000,Нет опыта,"<p>Наша компания занимается проектами по созданию/развитию информационных систем масштаба Москвы.</p> <p>Мы находимся в поисках Lead отдела разработки ( бек Java).</p> <p><strong>Условия:</strong></p> <ul> <li> <p><strong>Конкурентная заработная плата до 250 000 р. (на руки)</strong></p> </li> <li> <p><strong>Ежегодная премия “ 13 заработная плата”</strong></p> </li> <li> <p>Официальное трудоустройство</p> </li> <li> <p>Полностью удаленная работа</p> </li> <li> <p>При желании есть комфортабельный офис в Москве</p> </li> <li> <p>Пересмотр заработной платы 2 раза в год</p> </li> <li> <p>Гарантированный карьерный рост</p> </li> <li> <p>Гарантированный финансовый рост</p> </li> <li> <p>Лояльное начальство</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Опыт коммерческой разработки на Java не менее 2х лет.</p> </li> <li> <p>Базовые знания Computer Science (алгоритмы, структуры данных)</p> </li> <li> <p>Знание принципов ООП, шаблонов проектирования</p> </li> <li> <p>Разработка решений с помощью Spring, Spring Cloud</p> </li> <li> <p>Знания RESTfull-сервисов;</p> </li> <li> <p>Gradle/Maven</p> </li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Распределение задач внутри команды и контроль их исполнения</p> </li> <li> <p>Координация работы команды разработки в рамках проекта;</p> </li> <li> <p>Участие в проектах разработки, развития, модернизации информационных систем в роли Тимлида</p> </li> <li> <p>Анализ и понимание задач</p> </li> <li> <p>Осуществление непрерывного процесса разработки в команде под руководством руководителя проекта</p> </li> <li> <p>Работа с требованиями</p> </li> <li> <p>Участие в оценке мини-проектов, багов</p> </li> <li> <p>Контроль изменения БД и уведомление заинтересованных сторон о необходимости внесения изменений в Visual Paradigm</p> </li> <li> <p>Участие в процессах улучшения качества кода: рефакторинг, код-ревью, разработка регламентов, проведении архитектурного ревью</p> </li> <li> <p>Коммуникация с заказчиком по техническим вопросам</p> </li> <li> <p>Готовность принимать решения и брать на себя ответственность</p> </li> <li> <p>Участие в проработке технических решений в проекте</p> </li> </ul> <ul> <li> <p>Соблюдение регламента проведения работ</p> </li> </ul> <p><em>Для записи на собеседование - оставьте отклик!</em></p>","SQL, Teamleading, Базы данных, Java, Spring",https://hh.ru/vacancy/54152457
52093821,Backend developer,Томск,200000,Нет опыта,"<p><strong>Привет! Мы – международная </strong><strong>IT-компания Crypton Studio</strong> более 5 лет специализирующаяся на blockchain разработке.<br /><br />Локация: Томск (Россия), Рига (Латвия)</p> <p><strong>Сегодня Crypton Studio это:</strong></p> <ul> <li> <p>100+ реализованных проектов различной направленности.</p> </li> <li> <p>80% зарубежных заказчиков.</p> </li> <li> <p>110+ сотрудников в штате.</p> </li> <li> <p>Только профессиональные блокчейн-разработчики.</p> </li> <li> <p>Реализация любых финансовых инструментов на базе блокчейна.</p> </li> </ul> <p><strong>Пожелания к кандидату:</strong></p> <ul> <li> <p>Знание основ сетей.</p> </li> <li> <p>Node.js разработчик.</p> </li> <li> <p>PostgreSQL.</p> </li> <li> <p>Знание TypeScript.</p> </li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Официальное трудоустройство. Белая заработная плата. гибкие рабочие часы (нам важна выполненная задача, а не работа с 9:00–18:00);</p> </li> <li> <p>удобный офис в центре города;</p> </li> <li> <p>зарплатная вилка коррелирующая с опытом;</p> </li> <li> <p>релокационный пакет для иногородних и иностранцев;</p> </li> <li> <p>опытный наставник на протяжении всего процесса работы;</p> </li> <li> <p>индивидуальный план развития (кадры - наш приоритет);</p> </li> <li> <p>возможность перехода на outstaff. Релокация в Латвию;</p> </li> <li> <p>ресурсы для повышения квалификации (нужная техника и ПО, профессиональная библиотека, отправка на конференции);</p> </li> <li> <p>идеальные условия для саморазвития не выходя из офиса (йога, спорт. зал, курсы английского, творческие курсы).</p> </li> </ul> <p>Если ты амбициозен и заряжен на рост, прирожденный researcher и готов нырнуть во что-то новое, интересное и перспективное - эта вакансия для тебя!</p>","Node.js, PostgreSQL, TypeScript",https://hh.ru/vacancy/52093821
54595868,Backend-developer,Москва,160000,Нет опыта,"<p>Компания работает в сфере производства и продажи инновационных продуктов для здоровья, красоты и спорта.</p> <p>Приходи к нам, есть ты обладаешь следующими навыками:</p> <p>ООП, SOLID, DRY<br />PHP 7.2<br />MySql<br />HTML, CSS, JavaScript, jQuery<br />API (REST, SOAP)<br />Unix системы, bash<br />Опыт работы как минимум с одним из фреймворков (Laravel, Symfony, YII)</p> <p>Английский на уровне чтения технической документации</p> <p>Будет плюсом:</p> <p>Laravel<br />Git<br />Asterisk<br />Redis/Memcache<br />Высшее техническое образование, активность на GitHub, Gitlab и т.д.</p> <p><strong>Условия:</strong></p> <ul> <li>Достойная и привлекательная заработная плата с премиями по результатам работы</li> <li>Индивидуальный карьерный путь нашей квалифицированной и высокомотивированной международной команде</li> <li>Регулярные онлайн и офлайн командные мероприятия</li> <li>Возможность удаленной работы</li> <li>Оплачиваемые дни отпуска и праздничные дни</li> </ul> <p> </p> <p>Отлично, что дочитали до этого места, теперь мы ждем ваш отклик)!<br />Также уровень оплаты оговаривается с каждым соискателем лично на первом интервью.</p> <p>Можно смело писать в телеграмм</p> <p> </p>","MySQL, Английский язык, PHP, Laravel, HTML/CSS, GitHub, SOLID, DRY, Java Script",https://hh.ru/vacancy/54595868
49621682,Middle Backend разработчик (Node.js+ C/C++ (игры),Новосибирск,130000,Нет опыта,"<p><strong>IT Компания Reelmotion games входит в состав международного концерна Adamantis Services LP, одного из ведущих поставщиков программного обеспечения в области азартной игровой индустрии для европейского и американского рынков.</strong></p> <p><strong>Наши преимущества:</strong></p> <ul> <li>Высокий спрос от конечного потребителя. Результат Вашей работы точно не ляжет на пыльную полку.</li> <li>Стабильное гарантированное инвестирование проекта.</li> <li>Активное развитие стека и soft skills в рамках проекта.</li> <li>Активный вертикальный карьерный рост при желании.</li> <li>Уникальность проекта на рынке азартной game индустрии.</li> <li>Уровень дохода в верхней границе по рынку РФ.</li> <li>Индивидуальное курирование карьерного развития каждого сотрудника компании.</li> <li>Релокационный поддерживающий пакет при переезде в СПб из других регионов.</li> <li>Возможность принять участие в уникальном проекте, получившем высокую популярность в азартной game-индустрии.</li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Разработка кода backend части игры;</li> <li>Написание тестов;</li> <li>Написание модулей сбора статистических данных.</li> </ul> <strong>Что мы предлагаем:</strong> <ul> <li>Участие в реализации уникального проекта (в мире подобных проектов нет);</li> <li>Релокационный поддерживающий пакет при переезде в СПб из других регионов;</li> <li>Развитие совместно с командой и проектом;</li> <li>Режим работы 5/2 с 9 до 18 часов в офисе;</li> <li>Офисы компании в Приморском районе;</li> <li>Конкурентный и стабильный доход.</li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li>Хорошее знание JavaScript;</li> <li>Опыт коммерческой разработки на Node.js;</li> <li>Умение проектировать модульные структуры;</li> <li>Знание основ математики выше школьного уровня;</li> <li>Опыт работы в команде с применением Git.</li> </ul> <p><strong>Плюсами для Вас будут:</strong></p> <ul> <li>Знание английского языка;</li> <li>Опыт работы на С, С++;</li> <li>Понимание теории вероятностей.</li> </ul> <p><em><strong>Для Вас большим преимуществом будут: опыт работы с высоконагруженными сервисами, пунктуальность, ответственность, умение работать на результат, желание развиваться.</strong></em></p> <p><strong>Заинтересовала вакансия? Оставляйте отклик!</strong></p> <p><strong>Мы обязательно свяжемся с Вами!</strong></p> <p> </p>","Git, Node.js, C++, JavaScript, Математическая статистика",https://hh.ru/vacancy/49621682
54147040,Backend Разработчик .Net & T-SQL / SQL Server,Самара,100000,Нет опыта,"<p>Мы - команда VDcom, которая вот уже 24 года успешно автоматизирует, модернизирует, внедряет и поддерживает ПО для крупнейших банков и инвестиционных компаний России и СНГ.</p> <p><strong>Если ты:</strong></p> <ul> <li>Любишь и интересуешься программированием;</li> <li>Готов обучаться;</li> <li>Не стесняешься того, что чего-то не знаешь и готов задавать вопросы;</li> <li>Адекватный, честный и ответственный,</li> </ul> <p>То мы будем рады взять тебя на борт нашей команды!</p> <p><strong>Обязанности:</strong></p> <ul> <li>Писать много сложного кода под MS SQL Server;</li> <li>Писать код под .net core 3, .net framework 4, .net 5.0</li> <li>Развиваться и привносить что-то новое в наш коллектив</li> </ul> <strong>Условия:</strong> <ul> <li>Мы дадим тебе наставника. Его задача - влить в тебя все наши знания, твоя задача - эти знания перенять и усвоить;</li> <li>Нужно будет учить предметную область - теорию финансовых рынков и ценных бумаг (мы поможем);</li> <li>Составляем планы роста и обучения для развития внутри компании.</li> </ul> <p><strong>Почему о нас так мало информации?</strong></p> <p>Каемся, понимаем. Скоро эту оплошность исправим.<br />Дело в том, что мы долгое время не выходили на открытый рынок - это специфика сектора, в котором мы работаем. Клиенты приходят не по поиску через гугл, а сотрудников мы очень долгое время нанимали только из нашей сферы деятельности - то есть, из тех же банков и инвестиционных компаний.</p> <p>Если есть желание узнать о нас - посмотри наши соцсети (тоже только начинаем вести).</p> <p>Если ты сомневаешься – напиши нам. Попробуем разобраться!</p>","Базы данных, MS SQL Server, C#, SQL, .NET Framework, SQL Server, MVC",https://hh.ru/vacancy/54147040
54425248,Backend-разработчик (Django),Санкт-Петербург,75000,Нет опыта,"<p>Приглашаем присоединиться к молодой команде разработчиков, занимающейся созданием веб-порталов и мобильных приложений, которыми уже пользуются более 2 миллионов пользователей по всему миру. Мы ищем талантливых и амбициозных людей, стремящихся решать интересные задачи и постоянно совершенствоваться.</p> <p><strong>Обязанности: </strong></p> <ul> <li>Разработка backend-программного обеспечения для веб-порталов и мобильных приложений на Django</li> <li>Проектирование и реализация баз данных MySQL / PostgreSQL / MongoDB</li> <li>Проектирование и реализация REST API</li> </ul> <strong>Требования:</strong> <ul> <li>Умение работать с фреймоворком Django</li> <li>Умение работать с MySQL / PostgreSQL, REST API, Docker, Docker-compose, Redis</li> <li><strong>Будет плюсом:</strong> опыт работы с Flask</li> </ul> <strong>Условия:</strong> <ul> <li>Гибкий график (согласовывается индивидуально)</li> <li>Решение интересных задач</li> <li>Работа в молодой команде</li> <li>Развитие профессиональных навыков в интересующем Вас направлении</li> <li>Рост заработной платы по мере повышения квалификации</li> </ul>","MySQL, PostgreSQL, Django Framework, Flask",https://hh.ru/vacancy/54425248
50860123,Junior PHP Backend разработчик (Core Team),Москва,70000,Нет опыта,"<p>amoCRM - стабильная и динамично развивающаяся IT-компания, более 10-ти лет на международном рынке, один из лидеров в области разработки системы учёта клиентов. Мы разрабатываем облачную CRM-систему для автоматизации работы отделов продаж и помогаем нашим клиентам вести их бизнес.</p> <p>Мы разрабатываем большую систему, состоящую из множества сервисов, которые находятся под большой нагрузкой (десятки тысяч запросов в секунду). Большинство наших сервисов работает на стеке PHP+MySQL, но в некоторых используются и другие технологии.</p> <p>Мы ищем в московский офис <strong>начинающих backend-разработчиков</strong>, которые хотят раскрыть свой потенциал и быстро развить свои скиллы.</p> <p>В рамках данной вакансии все программисты проходят оплачиваемое обучение сроком 1 месяц, в течение которого разработчики даже без опыта работы смогут значительно прокачать свои профессиональные навыки. При успешном прохождении обучения, вы попадете в одну из продуктовых команд.</p> <p>Мы открыты к сотрудничеству с разработчиками разного уровня. Вы можете ещё учиться в ВУЗ-е - мы готовы рассмотреть кандидатов с гибким графиком (от 30-ти рабочих часов в неделю). Даже если у вас нет коммерческого опыта, но есть свои проекты, вы хотите развиваться и получать новые компетенции - мы обязательно рассмотрим ваше резюме!</p> <p><strong>Что вас ждёт?</strong></p> <ul> <li>Разработка нового функционала и исправление ошибок;</li> <li>Возможность познакомиться и разобраться с большим, высоконагруженным проектом и его архитектурой;</li> <li><strong>Оплачиваемое обучение</strong> в течение 1-го месяца;</li> <li><strong>Возможность гибкого графика</strong>, чтобы совмещать работу с учебой (от 30-ти часов в неделю);</li> <li>Работа в команде профессионалов;</li> <li>Адекватное финансовое вознаграждение;</li> <li>Быстрый рост в компании по мере роста компетенций.</li> </ul> <p>В самом начале вашего пути вы познакомитесь с продуктом и с вашим наставником. Далее в течение месяца обучения вы под присмотром наставника будете выполнять ваши первые задачи.</p> <p>После прохождения обучения вы перейдёте к боевым задачам - сначала к небольшим и несложным. По мере вашего развития задачи будут становиться сложнее и увлекательнее.</p> <p><strong>Требования к кандидату:</strong></p> <ul> <li>Знание PHP (мы используем версии от 7.1 до 8);</li> <li>Знание MySQL;</li> <li>Стремление учиться и развиваться.</li> </ul> <p><strong>Будет преимуществом, если вы:</strong></p> <ul> <li>Знаете основы Git;</li> <li>Уже работали с API различных сервисов/сайтов/систем;</li> <li>Представляете, что такое система очередей и зачем она нужна;</li> <li>Умеете структурно мыслить, а также умеете разбивать задачу на подзадачи.</li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li><strong>Оплачиваемое обучение</strong> в течение 1-го месяца под присмотром наставника;</li> <li><strong>Работа в офисе</strong> в центре Москвы в шаговой доступности от м. Таганская;</li> <li>График 5/2, начало рабочего дня в промежуток с 10 до 11 утра;</li> <li><strong>Возможность гибкого графика</strong>, чтобы совмещать работу с учебой (но не менее 30-ти часов в неделю);</li> <li>Работа над интересным международным проектом в технически сильной команде;</li> <li>Возможность карьерного и профессионального роста;</li> <li>Без бюрократии, без дресс-кода;</li> <li>Бесплатные печенье, чай, кофе;</li> <li>50% компенсация питания в офисе.</li> </ul> <p><strong>Ждём ваше резюме!</strong></p>","Git, MySQL, PHP, ООП, SQL, backend, начало карьеры, Highload",https://hh.ru/vacancy/50860123
48891774,Junior Web-разработчик Backend (Удалённо),Ростов-на-Дону,60000,Нет опыта,"<p><strong>DELTA - это профессиональная и креативная команда специалистов в сфере Digital</strong></p> <p>(входит в TOP-5 Digital-агентств и TOP-3 SEO-компаний по Югу России по версии Рейтинга Рунета).</p> <p><strong>Мы в поиске</strong> <strong>веб-разработчика на интересные проекты.</strong><br />Развитие нашего бизнеса основывается на двух простых и важных факторах - доброе отношение к клиентам и привлечение профессиональных сотрудников.</p> <p>Мы разрабатываем digital-решения для таких крупнейших российских компаний как: заводы ГПЗ-10, ТагМаш и Конорд; компаний Subaru, Шкода, РосМорТранс, ДонШтайн; торговых центров Мебель Град и Талер; интернет провайдер Цифровой диалог и др. (можете ознакомиться на нашем сайте).</p> <p><strong>Наши </strong><strong>компетенции</strong><strong>: </strong>аналитика и стратегия, интернет-маркетинг, разработка web-сайтов и digital-сервисов, автоматизация бизнеса, брендинг и дизайн.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Интеграция веб-проектов с учетными системами;</li> <li>Разработка систем парсинга;</li> <li>Разработка интерактивного функционала для сайтов на стороне бекенда;</li> <li>Поддержка существующего функционала.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенные знания PHP и MySQL;</li> <li>Умение обрабатывать структурированную информацию форматов: XML, CSV, JSON и др.</li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li>Знание одного из PHP-фреймверков;</li> <li>Знание Javascript/jQuery.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>График работы 5/2;</li> <li>Гибридный либо удалённый формат работы;</li> <li>Заработная плата обсуждается индивидуально с успешным кандидатом;</li> <li>Работа в команде профессионалов;</li> <li>Возможность профессионального и карьерного роста;</li> <li>Оформление по ТК РФ.</li> <li>Работа в стабильной компании: В Web с 2003 года. Более 750 проектов за последние 5 лет. Наши клиенты: торговые центры, заводы, автоцентры, IT-компании и др. Основной офис расположен в Ростове-на-Дону. В нём работает более 25 специалистов.</li> </ul>","ООП, HTML, CSS, Ajax, HTTP, MySQL, PHP",https://hh.ru/vacancy/48891774
